23101,名古屋市千種区,ナゴヤシチクサク
23102,名古屋市東区,ナゴヤシヒガシク
23103,名古屋市北区,ナゴヤシキタク
23104,名古屋市西区,ナゴヤシニシク
23105,名古屋市中村区,ナゴヤシナカムラク
23106,名古屋市中区,ナゴヤシナカク
23107,名古屋市昭和区,ナゴヤシショウワク
23108,名古屋市瑞穂区,ナゴヤシミズホク
23109,名古屋市熱田区,ナゴヤシアツタク
23110,名古屋市中川区,ナゴヤシナカガワク
23111,名古屋市港区,ナゴヤシミナトク
23112,名古屋市南区,ナゴヤシミナミク
23113,名古屋市守山区,ナゴヤシモリヤマク
23114,名古屋市緑区,ナゴヤシミドリク
23115,名古屋市名東区,ナゴヤシメイトウク
23116,名古屋市天白区,ナゴヤシテンパクク
23201,豊橋市,トヨハシシ
23202,岡崎市,オカザキシ
23203,一宮市,イチノミヤシ
23204,瀬戸市,セトシ
23205,半田市,ハンダシ
23206,春日井市,カスガイシ
23207,豊川市,トヨカワシ
23208,津島市,ツシマシ
23209,碧南市,ヘキナンシ
23210,刈谷市,カリヤシ
23211,豊田市,トヨタシ
23212,安城市,アンジョウシ
23213,西尾市,ニシオシ
23214,蒲郡市,ガマゴオリシ
23215,犬山市,イヌヤマシ
23216,常滑市,トコナメシ
23217,江南市,コウナンシ
23219,小牧市,コマキシ
23220,稲沢市,イナザワシ
23221,新城市,シンシロシ
23222,東海市,トウカイシ
23223,大府市,オオブシ
23224,知多市,チタシ
23225,知立市,チリュウシ
23226,尾張旭市,オワリアサヒシ
23227,高浜市,タカハマシ
23228,岩倉市,イワクラシ
23229,豊明市,トヨアケシ
23230,日進市,ニッシンシ
23231,田原市,タハラシ
23232,愛西市,アイサイシ
23233,清須市,キヨスシ
23234,北名古屋市,キタナゴヤシ
23235,弥富市,ヤトミシ
23236,みよし市,ミヨシシ
23237,あま市,アマシ
23238,長久手市,ナガクテシ